# onset(ms)	end(ms)	label
0	1000	L0T0M0L0_L1T0M0L1_L2T0M0L2_L3T0M0L3_
1000	2000	L0T1000M1L0_
2000	3000	L0T2000M0L0_L1T2000M1L1_
3000	4000	L0T3000M2L0_
4000	5000	L0T4000M0L0_L1T4000M0L1_L2T4000M0L2_
5000	6000	L0T5000M1L0_
6000	7000	L0T6000M0L0_L1T6000M1L1_
7000	8000	L0T7000M2L0_
8000	9000	L0T8000M3L0_L1T8000M2L1_L2T8000M1L2_L3T8000M1L3_
9000	10000	L0T9000M4L0_
10000	11000	L0T10000M0L0_L1T10000M0L1_
11000	12000	L0T11000M1L0_
12000	13000	L0T12000M5L0_L1T12000M3L1_
13000	14000	L0T13000M6L0_
14000	15000	L0T14000M0L0_L1T14000M0L1_L2T14000M0L2_
15000	16000	L0T15000M1L0_
16000	17000	L0T16000M0L0_L1T16000M1L1_
17000	18000	L0T17000M2L0_
18000	19000	L0T18000M7L0_L1T18000M4L1_L2T18000M2L2_
19000	20000	L0T19000M8L0_
20000	21000	L0T20000M9L0_
21000	22000	L0T21000M10L0_
22000	23000	L0T22000M11L0_L1T22000M5L1_
23000	24000	L0T23000M12L0_
24000	25000	L0T24000M7L0_L1T24000M6L1_
25000	26000	L0T25000M8L0_
26000	27000	L0T26000M13L0_
27000	28000	L0T27000M14L0_
28000	29000	L0T28000M15L0_L1T28000M7L1_
29000	30000	L0T29000M16L0_
30000	31000	L0T30000M0L0_L1T30000M0L1_L2T30000M0L2_L3T30000M2L3_
31000	32000	L0T31000M1L0_
32000	33000	L0T32000M0L0_L1T32000M1L1_
33000	34000	L0T33000M2L0_
34000	35000	L0T34000M17L0_L1T34000M8L1_L2T34000M3L2_
35000	36000	L0T35000M18L0_
36000	37000	L0T36000M17L0_L1T36000M8L1_
37000	38000	L0T37000M18L0_
38000	39000	L0T38000M19L0_L1T38000M9L1_
39000	40000	L0T39000M19L0_
40000	41000	L0T40000M20L0_
