# onset(ms)	end(ms)	label
0	46	L0T0M0L0_L1T0M0L1_L2T0M0L2_L3T0M0L3_
46	93	L0T46M0L0_
93	139	L0T93M0L0_
139	186	L0T139M0L0_
186	232	L0T186M0L0_
232	279	L0T232M0L0_
279	325	L0T279M0L0_
325	372	L0T325M0L0_
372	418	L0T372M0L0_
418	464	L0T418M0L0_
464	511	L0T464M0L0_
511	557	L0T511M0L0_
557	604	L0T557M0L0_
604	650	L0T604M0L0_
650	697	L0T650M0L0_
697	743	L0T697M0L0_
743	789	L0T743M0L0_
789	836	L0T789M0L0_
836	882	L0T836M0L0_
882	929	L0T882M0L0_
929	975	L0T929M0L0_
975	1022	L0T975M0L0_
1022	1068	L0T1022M0L0_
1068	1115	L0T1068M0L0_
1115	1161	L0T1115M0L0_
1161	1207	L0T1161M0L0_
1207	1254	L0T1207M0L0_
1254	1300	L0T1254M0L0_
1300	1347	L0T1300M0L0_
1347	1393	L0T1347M0L0_
1393	1440	L0T1393M0L0_
1440	1486	L0T1440M0L0_
1486	1533	L0T1486M0L0_
1533	1579	L0T1533M0L0_
1579	1625	L0T1579M0L0_
1625	1672	L0T1625M0L0_
1672	1718	L0T1672M0L0_
1718	1765	L0T1718M0L0_
1765	1811	L0T1765M0L0_
1811	1858	L0T1811M0L0_
1858	1904	L0T1858M0L0_
1904	1950	L0T1904M0L0_
1950	1997	L0T1950M0L0_
1997	2043	L0T1997M0L0_
2043	2090	L0T2043M0L0_
2090	2136	L0T2090M0L0_
2136	2183	L0T2136M0L0_
2183	2229	L0T2183M0L0_
2229	2276	L0T2229M0L0_
2276	2322	L0T2276M0L0_
2322	2368	L0T2322M0L0_
2368	2415	L0T2368M0L0_
2415	2461	L0T2415M1L0_L1T2415M1L1_
2461	2508	L0T2461M1L0_
2508	2554	L0T2508M1L0_
2554	2601	L0T2554M1L0_
2601	2647	L0T2601M1L0_
2647	2694	L0T2647M1L0_
2694	2740	L0T2694M1L0_
2740	2786	L0T2740M1L0_
2786	2833	L0T2786M1L0_
2833	2879	L0T2833M1L0_
2879	2926	L0T2879M1L0_
2926	2972	L0T2926M1L0_
2972	3019	L0T2972M1L0_
3019	3065	L0T3019M1L0_
3065	3111	L0T3065M1L0_
3111	3158	L0T3111M1L0_
3158	3204	L0T3158M1L0_
3204	3251	L0T3204M1L0_
3251	3297	L0T3251M1L0_
3297	3344	L0T3297M1L0_
3344	3390	L0T3344M1L0_
3390	3437	L0T3390M1L0_
3437	3483	L0T3437M1L0_
3483	3529	L0T3483M1L0_
3529	3576	L0T3529M1L0_
3576	3622	L0T3576M1L0_
3622	3669	L0T3622M1L0_
3669	3715	L0T3669M1L0_
3715	3762	L0T3715M1L0_
3762	3808	L0T3762M1L0_
3808	3855	L0T3808M1L0_
3855	3901	L0T3855M1L0_
3901	3947	L0T3901M1L0_
3947	3994	L0T3947M1L0_
3994	4040	L0T3994M1L0_
4040	4087	L0T4040M1L0_
4087	4133	L0T4087M1L0_
4133	4180	L0T4133M1L0_
4180	4226	L0T4180M1L0_
4226	4272	L0T4226M1L0_
4272	4319	L0T4272M1L0_
4319	4365	L0T4319M1L0_
4365	4412	L0T4365M1L0_
4412	4458	L0T4412M1L0_
4458	4505	L0T4458M1L0_
4505	4551	L0T4505M1L0_
4551	4598	L0T4551M1L0_
4598	4644	L0T4598M1L0_
4644	4690	L0T4644M1L0_
4690	4737	L0T4690M1L0_
4737	4783	L0T4737M1L0_
4783	4830	L0T4783M1L0_
