# onset(ms)	end(ms)	label
0	1000	L0T0M0L0_L1T0M0L1_L2T0M0L2_
1000	2000	L0T1000M1L0_
2000	3000	L0T2000M0L0_L1T2000M0L1_
3000	4000	L0T3000M1L0_
4000	5000	L0T4000M0L0_L1T4000M0L1_
5000	6000	L0T5000M1L0_
6000	7000	L0T6000M0L0_L1T6000M0L1_
7000	8000	L0T7000M1L0_
8000	9000	L0T8000M0L0_L1T8000M0L1_
9000	10000	L0T9000M1L0_
10000	11000	L0T10000M0L0_L1T10000M1L1_L2T10000M1L2_
11000	12000	L0T11000M2L0_
12000	13000	L0T12000M0L0_L1T12000M0L1_
13000	14000	L0T13000M1L0_
14000	15000	L0T14000M0L0_L1T14000M0L1_
15000	16000	L0T15000M1L0_
16000	17000	L0T16000M0L0_L1T16000M1L1_L2T16000M1L2_
17000	18000	L0T17000M2L0_
18000	19000	L0T18000M0L0_L1T18000M0L1_
19000	20000	L0T19000M1L0_
20000	21000	L0T20000M0L0_L1T20000M1L1_L2T20000M1L2_
21000	22000	L0T21000M2L0_
22000	23000	L0T22000M0L0_L1T22000M0L1_
23000	24000	L0T23000M1L0_
24000	25000	L0T24000M0L0_L1T24000M0L1_
25000	26000	L0T25000M1L0_
26000	27000	L0T26000M0L0_L1T26000M1L1_
27000	28000	L0T27000M2L0_
# onset(ms)	end(ms)	label
0	1000	L0T0M0L0_L1T0M0L1_L2T0M0L2_
1000	2000	L0T1000M1L0_
2000	3000	L0T2000M0L0_L1T2000M0L1_
3000	4000	L0T3000M1L0_
4000	5000	L0T4000M0L0_L1T4000M0L1_
5000	6000	L0T5000M1L0_
6000	7000	L0T6000M0L0_L1T6000M0L1_
7000	8000	L0T7000M1L0_
8000	9000	L0T8000M0L0_L1T8000M0L1_
9000	10000	L0T9000M1L0_
10000	11000	L0T10000M0L0_L1T10000M1L1_L2T10000M1L2_
11000	12000	L0T11000M2L0_
12000	13000	L0T12000M0L0_L1T12000M0L1_
13000	14000	L0T13000M1L0_
14000	15000	L0T14000M0L0_L1T14000M0L1_
15000	16000	L0T15000M1L0_
16000	17000	L0T16000M0L0_L1T16000M1L1_L2T16000M1L2_
17000	18000	L0T17000M2L0_
18000	19000	L0T18000M0L0_L1T18000M0L1_
19000	20000	L0T19000M1L0_
20000	21000	L0T20000M0L0_L1T20000M1L1_L2T20000M1L2_
21000	22000	L0T21000M2L0_
22000	23000	L0T22000M0L0_L1T22000M0L1_
23000	24000	L0T23000M1L0_
24000	25000	L0T24000M0L0_L1T24000M0L1_
25000	26000	L0T25000M1L0_
26000	27000	L0T26000M0L0_L1T26000M1L1_
27000	28000	L0T27000M2L0_
# onset(ms)	end(ms)	label
0	1000	L0T0M0L0_L1T0M0L1_L2T0M0L2_
1000	2000	L0T1000M1L0_
2000	3000	L0T2000M0L0_L1T2000M0L1_
3000	4000	L0T3000M1L0_
4000	5000	L0T4000M0L0_L1T4000M0L1_
5000	6000	L0T5000M1L0_
6000	7000	L0T6000M0L0_L1T6000M0L1_
7000	8000	L0T7000M1L0_
8000	9000	L0T8000M0L0_L1T8000M0L1_
9000	10000	L0T9000M1L0_
10000	11000	L0T10000M0L0_L1T10000M1L1_L2T10000M1L2_
11000	12000	L0T11000M2L0_
12000	13000	L0T12000M0L0_L1T12000M0L1_
13000	14000	L0T13000M1L0_
14000	15000	L0T14000M0L0_L1T14000M0L1_
15000	16000	L0T15000M1L0_
16000	17000	L0T16000M0L0_L1T16000M1L1_L2T16000M2L2_
17000	18000	L0T17000M2L0_
18000	19000	L0T18000M0L0_L1T18000M0L1_
19000	20000	L0T19000M1L0_
20000	21000	L0T20000M0L0_L1T20000M1L1_
21000	22000	L0T21000M2L0_
